OrderYear,OrderMonth,IsWeekendOrder,Quantity,UnitPrice,TotalPrice,ItemsInCart,CartFillRatio,HasCoupon,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,CouponCode_FREESHIP,CouponCode_NoCoupon,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,OrderStatus,IsCancelled,IsReturned,IsCancelledOrReturned
2023,7,0,1,179.22,179.22,6,0.167,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Cancelled,1,0,1
2024,12,0,1,388.33,388.33,2,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Returned,0,1,1
2024,9,1,1,586.44,586.44,5,0.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Returned,0,1,1
2024,5,1,4,488.78,1955.12,5,0.8,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Returned,0,1,1
2025,3,0,1,280.25,280.25,5,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Pending,0,0,0
2025,6,0,3,344.4,1033.2,3,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Cancelled,1,0,1
2023,5,1,3,479.21,1437.63,5,0.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Cancelled,1,0,1
2023,1,1,5,314.27,1571.35,6,0.833,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Returned,0,1,1
2023,1,1,4,474.69,1898.76,6,0.667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Cancelled,1,0,1
2024,9,0,4,593.27,2373.08,5,0.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Shipped,0,0,0
2024,8,0,1,417.1,417.1,3,0.333,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Returned,0,1,1
2024,3,1,4,122.2,488.8,7,0.571,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Delivered,0,0,0
2023,8,0,2,43.15,86.3,3,0.667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Pending,0,0,0
2025,2,1,1,564.86,564.86,6,0.167,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Shipped,0,0,0
2025,6,0,3,130.61,391.83,4,0.75,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Cancelled,1,0,1
2023,12,1,5,81.7,408.5,6,0.833,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Delivered,0,0,0
2024,11,0,5,127.18,635.9000000000001,9,0.556,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Cancelled,1,0,1
2024,12,0,4,12.1,48.4,8,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Cancelled,1,0,1
2023,12,0,3,490.92,1472.76,5,0.6,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Pending,0,0,0
2023,5,0,3,478.65,1435.95,4,0.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Shipped,0,0,0
2023,5,0,1,629.21,629.21,2,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Pending,0,0,0
2025,6,0,3,434.45,1303.35,4,0.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Pending,0,0,0
2024,12,1,4,589.44,2357.76,5,0.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Returned,0,1,1
2023,5,0,4,433.45,1733.8,4,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Cancelled,1,0,1
2023,6,1,5,90.87,454.35,5,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Pending,0,0,0
2023,9,0,3,398.17,1194.51,5,0.6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Delivered,0,0,0
2024,3,1,4,382.88,1531.52,6,0.667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Cancelled,1,0,1
2024,5,0,1,583.18,583.18,5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Returned,0,1,1
2024,8,0,4,175.36,701.44,4,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Delivered,0,0,0
2025,3,0,2,311.91,623.82,2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Shipped,0,0,0
2023,6,0,3,589.56,1768.68,6,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Returned,0,1,1
2023,6,0,2,394.3,788.6,6,0.333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Shipped,0,0,0
2024,1,0,4,565.2,2260.8,9,0.444,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Shipped,0,0,0
2023,8,0,4,540.41,2161.64,6,0.667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Cancelled,1,0,1
2023,8,0,2,165.49,330.98,4,0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Shipped,0,0,0
2024,9,0,3,146.73,440.1899999999999,8,0.375,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Delivered,0,0,0
2024,6,0,5,643.03,3215.15,5,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Cancelled,1,0,1
2024,10,0,3,225.11,675.33,4,0.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Shipped,0,0,0
2025,6,0,3,114.81,344.43,7,0.429,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Cancelled,1,0,1
2025,2,0,5,455.33,2276.65,8,0.625,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Cancelled,1,0,1
2023,9,0,4,182.08,728.32,4,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Delivered,0,0,0
2023,3,0,5,492.75,2463.75,6,0.833,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Shipped,0,0,0
2024,6,0,4,48.61,194.44,7,0.571,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Shipped,0,0,0
2023,1,1,4,431.01,1724.04,7,0.571,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Returned,0,1,1
2023,2,1,1,531.18,531.18,6,0.167,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Returned,0,1,1
2023,3,0,4,117.51,470.04,7,0.571,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Returned,0,1,1
2024,6,1,2,232.83,465.66,7,0.286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Delivered,0,0,0
2025,1,0,5,619.52,3097.6,9,0.556,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Pending,0,0,0
2023,1,1,2,228.54,457.08,3,0.667,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Pending,0,0,0
2025,4,1,1,201.58,201.58,2,0.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Cancelled,1,0,1
2023,2,0,3,664.79,1994.37,6,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Delivered,0,0,0
2023,11,1,1,381.02,381.02,6,0.167,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Shipped,0,0,0
2023,3,0,2,70.34,140.68,3,0.667,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Cancelled,1,0,1
2025,1,1,4,218.43,873.72,9,0.444,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Cancelled,1,0,1
2024,7,0,1,582.04,582.04,1,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Delivered,0,0,0
2024,10,0,3,185.4,556.2,7,0.429,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Cancelled,1,0,1
2023,9,0,3,465.05,1395.15,3,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Cancelled,1,0,1
2023,3,0,5,670.75,3353.75,8,0.625,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Shipped,0,0,0
2024,12,1,5,48.38,241.9,9,0.556,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Delivered,0,0,0
2023,9,1,3,592.87,1778.61,3,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Shipped,0,0,0
2024,4,1,1,220.77,220.77,5,0.2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Pending,0,0,0
2025,5,0,3,309.22,927.6600000000001,7,0.429,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Cancelled,1,0,1
2023,1,1,1,410.6,410.6,2,0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Cancelled,1,0,1
2024,1,0,5,190.08,950.4000000000001,9,0.556,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Shipped,0,0,0
2025,1,0,5,498.48,2492.4,8,0.625,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Pending,0,0,0
2023,11,0,5,374.99,1874.95,9,0.556,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Shipped,0,0,0
2023,3,1,4,291.35,1165.4,6,0.667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Cancelled,1,0,1
2023,3,0,1,535.5,535.5,5,0.2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Cancelled,1,0,1
2023,10,0,5,502.71,2513.55,7,0.714,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Shipped,0,0,0
2025,6,0,2,534.67,1069.34,7,0.286,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Shipped,0,0,0
2023,4,0,4,629.34,2517.36,4,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Cancelled,1,0,1
2023,11,0,1,410.78,410.78,1,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Cancelled,1,0,1
2024,4,0,2,533.02,1066.04,2,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Shipped,0,0,0
2023,7,0,3,278.04,834.1200000000001,5,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Delivered,0,0,0
2024,7,1,4,283.79,1135.16,8,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Pending,0,0,0
2024,11,0,2,512.65,1025.3,5,0.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Shipped,0,0,0
2025,5,1,4,275.5,1102.0,8,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Shipped,0,0,0
2023,8,0,3,469.32,1407.96,3,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Shipped,0,0,0
2023,2,0,4,21.07,84.28,4,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Delivered,0,0,0
2023,10,0,4,263.93,1055.72,4,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Shipped,0,0,0
2025,1,0,3,501.3,1503.9,3,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Cancelled,1,0,1
2023,1,1,1,84.8,84.8,5,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Pending,0,0,0
2023,3,0,4,450.75,1803.0,6,0.667,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Shipped,0,0,0
2025,6,0,4,302.05,1208.2,6,0.667,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Cancelled,1,0,1
2025,6,0,2,199.7,399.4,4,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Pending,0,0,0
2023,8,0,2,68.81,137.62,5,0.4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Shipped,0,0,0
2024,4,1,1,44.35,44.35,1,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Cancelled,1,0,1
2024,11,0,2,250.98,501.96,5,0.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Delivered,0,0,0
2023,12,0,1,298.06,298.06,3,0.333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Pending,0,0,0
2023,4,0,1,583.9,583.9,1,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Returned,0,1,1
2025,5,1,3,528.14,1584.42,3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,Delivered,0,0,0
2023,11,1,3,684.14,2052.42,3,1.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Cancelled,1,0,1
2023,9,0,5,272.77,1363.85,7,0.714,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Pending,0,0,0
2024,6,0,4,400.07,1600.28,5,0.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Shipped,0,0,0
2023,8,0,5,219.78,1098.9,8,0.625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Pending,0,0,0
2024,3,1,3,146.91,440.73,6,0.5,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Delivered,0,0,0
2025,4,0,2,411.49,822.98,4,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Returned,0,1,1
2025,5,0,2,465.18,930.36,2,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Cancelled,1,0,1
2024,12,1,2,319.91,639.82,3,0.667,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Cancelled,1,0,1
2023,12,0,1,217.56,217.56,3,0.333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Delivered,0,0,0
2023,12,0,2,105.57,211.14,5,0.4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Returned,0,1,1
2023,12,0,5,444.76,2223.8,7,0.714,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Returned,0,1,1
2025,1,0,2,399.04,798.08,3,0.667,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Cancelled,1,0,1
2024,12,0,4,534.48,2137.92,9,0.444,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Returned,0,1,1
2023,7,0,4,408.21,1632.84,9,0.444,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Pending,0,0,0
2023,2,0,1,424.4,424.4,6,0.167,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Shipped,0,0,0
2024,11,0,2,269.83,539.66,4,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Delivered,0,0,0
2025,2,0,2,564.58,1129.16,4,0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Returned,0,1,1
2024,5,0,1,331.06,331.06,5,0.2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Pending,0,0,0
2023,10,0,1,299.35,299.35,5,0.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Cancelled,1,0,1
2023,2,0,4,101.32,405.28,7,0.571,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Pending,0,0,0
2024,3,0,1,211.14,211.14,1,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Cancelled,1,0,1
2023,7,0,3,65.86,197.58,8,0.375,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Pending,0,0,0
2025,6,0,1,641.39,641.39,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Cancelled,1,0,1
2023,12,0,5,536.58,2682.9,5,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,Pending,0,0,0
2024,9,1,2,500.29,1000.58,7,0.286,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Returned,0,1,1
2025,3,0,3,86.29,258.87,6,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Delivered,0,0,0
2023,5,1,2,384.14,768.28,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Returned,0,1,1
2025,1,1,1,594.96,594.96,6,0.167,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Returned,0,1,1
2024,4,1,1,427.82,427.82,2,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Delivered,0,0,0
